Sample_ID,Heat_Treatment,Grain_Size_um,Temperature_C,Measurement_Batch,Hardness_HV
A000,Annealed,53,907,4,285
A001,Annealed,49,915,1,271
A002,Annealed,54,889,3,261
A003,Annealed,59,905,5,279
A004,Annealed,49,895,3,290
A005,Annealed,49,896,3,265
A006,Annealed,59,895,1,275
A007,Annealed,55,893,1,276
A008,Annealed,47,900,1,275
A009,Annealed,53,893,2,266
A010,Annealed,47,902,4,287
A011,Annealed,47,900,2,281
A012,Annealed,51,898,4,278
A013,Annealed,39,893,4,284
A014,Annealed,40,895,3,282
A015,Annealed,47,906,3,263
A016,Annealed,44,904,4,281
A017,Annealed,52,892,4,286
A018,Annealed,45,901,2,276
A019,Annealed,42,906,2,275
A020,Annealed,59,887,3,275
A021,Annealed,49,904,1,283
A022,Annealed,50,895,4,273
A023,Annealed,41,905,2,283
A024,Annealed,47,894,3,282
A025,Annealed,51,886,2,276
A026,Annealed,43,887,4,291
A027,Annealed,52,900,4,293
A028,Annealed,46,902,5,269
A029,Annealed,48,893,1,288
A030,Annealed,46,905,5,281
A031,Annealed,61,887,3,280
A032,Annealed,50,899,2,283
A033,Annealed,44,890,3,284
A034,Annealed,55,895,4,280
A035,Annealed,43,900,5,281
A036,Annealed,51,893,5,271
A037,Annealed,38,897,5,295
A038,Annealed,42,908,3,279
A039,Annealed,51,895,4,281
A040,Annealed,54,907,2,275
A041,Annealed,51,891,2,261
A042,Annealed,49,904,3,274
A043,Annealed,48,912,5,282
A044,Annealed,41,880,1,283
A045,Annealed,46,894,3,264
A046,Annealed,47,905,3,289
A047,Annealed,56,898,4,274
A048,Annealed,52,903,2,279
A049,Annealed,39,895,3,284
A050,Annealed,52,901,3,280
A051,Annealed,48,899,5,292
A052,Annealed,46,909,5,276
A053,Annealed,54,902,1,287
A054,Annealed,56,903,4,276
A055,Annealed,56,897,1,268
A056,Annealed,45,896,5,298
A057,Annealed,48,897,2,282
A058,Annealed,52,903,5,281
A059,Annealed,56,897,4,272
A060,Annealed,47,902,5,275
A061,Annealed,49,917,4,280
A062,Annealed,43,907,4,295
A063,Annealed,43,897,4,282
A064,Annealed,55,910,4,274
A065,Annealed,58,897,4,282
A066,Annealed,50,884,2,276
A067,Annealed,56,892,1,277
A068,Annealed,52,885,3,282
A069,Annealed,46,897,1,280
A070,Annealed,52,900,4,278
A071,Annealed,59,913,2,276
A072,Annealed,50,903,5,275
A073,Annealed,59,898,2,277
A074,Annealed,34,907,4,290
A075,Annealed,55,882,2,269
A076,Annealed,51,902,2,267
A077,Annealed,48,906,4,276
A078,Annealed,51,888,2,272
A079,Annealed,38,909,3,286
A080,Annealed,49,903,3,283
A081,Annealed,52,897,2,264
A082,Annealed,59,905,5,258
A083,Annealed,47,918,4,275
A084,Annealed,45,901,3,285
A085,Annealed,47,902,5,282
A086,Annealed,55,896,2,268
A087,Annealed,52,893,5,284
A088,Annealed,47,907,1,276
A089,Annealed,53,893,3,279
A090,Annealed,51,901,2,275
A091,Annealed,56,896,4,268
A092,Annealed,46,904,2,277
A093,Annealed,48,903,4,284
A094,Annealed,48,908,2,282
A095,Annealed,41,896,5,292
A096,Annealed,52,898,5,279
A097,Annealed,52,892,5,265
A098,Annealed,50,896,1,293
A099,Annealed,49,903,4,282
A100,Annealed,42,906,5,289
A101,Annealed,47,893,1,277
A102,Annealed,48,907,4,287
A103,Annealed,45,911,2,274
A104,Annealed,49,903,1,283
A105,Annealed,52,915,3,261
A106,Annealed,61,894,1,275
A107,Annealed,51,890,1,269
A108,Annealed,52,886,4,279
A109,Annealed,50,912,2,288
A110,Annealed,38,905,3,294
A111,Annealed,50,900,5,286
A112,Annealed,50,902,5,285
A113,Annealed,65,891,1,265
A114,Annealed,49,920,4,283
A115,Annealed,52,901,4,264
A116,Annealed,50,901,5,273
A117,Annealed,43,906,3,294
A118,Annealed,57,904,2,270
A119,Annealed,55,902,3,261
A120,Annealed,55,894,2,288
A121,Annealed,45,904,5,286
A122,Annealed,58,915,2,277
A123,Annealed,42,911,4,278
A124,Annealed,54,913,1,277
A125,Annealed,63,896,1,271
A126,Annealed,44,892,5,277
A127,Annealed,47,899,4,279
A128,Annealed,51,900,3,267
A129,Annealed,47,909,4,278
A130,Annealed,41,886,1,293
A131,Annealed,50,912,1,272
A132,Annealed,44,899,4,297
A133,Annealed,53,897,4,266
A134,Annealed,44,892,1,281
A135,Annealed,59,887,3,267
A136,Annealed,45,907,5,280
A137,Annealed,48,901,5,289
A138,Annealed,55,890,4,267
A139,Annealed,43,890,5,281
A140,Annealed,51,897,1,281
A141,Annealed,58,913,1,273
A142,Annealed,40,898,4,288
A143,Annealed,51,888,4,270
A144,Annealed,52,898,4,276
A145,Annealed,55,898,3,282
A146,Annealed,43,878,5,273
A147,Annealed,42,900,4,280
A148,Annealed,53,898,2,263
A149,Annealed,52,906,2,280
A150,Annealed,52,915,1,285
A151,Annealed,52,909,5,275
A152,Annealed,46,898,4,274
A153,Annealed,51,891,2,270
A154,Annealed,52,921,5,274
A155,Annealed,46,900,1,279
A156,Annealed,61,900,3,277
A157,Annealed,53,900,5,271
A158,Annealed,43,902,5,287
A159,Annealed,54,899,3,273
A160,Annealed,44,895,5,278
A161,Annealed,55,896,1,272
A162,Annealed,57,900,1,275
A163,Annealed,45,896,3,288
A164,Annealed,56,894,4,272
A165,Annealed,52,901,2,267
A166,Annealed,55,898,4,281
A167,Annealed,61,912,5,264
A168,Annealed,49,879,2,281
A169,Annealed,45,909,3,281
A170,Annealed,45,910,3,281
A171,Annealed,45,883,2,278
A172,Annealed,50,897,1,282
A173,Annealed,52,897,2,251
A174,Annealed,52,889,5,284
A175,Annealed,55,894,1,268
A176,Annealed,50,891,3,281
A177,Annealed,59,914,2,274
A178,Annealed,48,907,4,288
A179,Annealed,66,910,4,269
A180,Annealed,54,906,5,269
A181,Annealed,45,891,4,271
A182,Annealed,44,896,2,281
A183,Annealed,53,904,2,262
A184,Annealed,49,890,4,274
A185,Annealed,54,906,2,273
A186,Annealed,53,898,5,271
A187,Annealed,50,897,1,278
A188,Annealed,45,906,5,280
A189,Annealed,41,904,5,284
A190,Annealed,47,897,2,263
